date,discharge_m3s,Station_ID
1979-11-16,8.0,2548310
1979-11-17,8.0,2548310
1979-11-18,8.0,2548310
1979-11-19,8.0,2548310
1979-11-20,8.0,2548310
1979-11-21,8.0,2548310
1979-11-22,8.0,2548310
1979-11-23,8.0,2548310
1979-11-24,7.0,2548310
1979-11-25,7.0,2548310
1979-11-26,7.0,2548310
1979-11-27,7.0,2548310
1979-11-28,7.0,2548310
1979-11-29,7.0,2548310
1979-11-30,21.0,2548310
1979-12-01,12.0,2548310
1979-12-02,10.0,2548310
1979-12-03,9.0,2548310
1979-12-04,8.0,2548310
1979-12-05,8.0,2548310
1979-12-06,8.0,2548310
1979-12-07,8.0,2548310
1979-12-08,8.0,2548310
1979-12-09,8.0,2548310
1979-12-10,8.0,2548310
1979-12-11,8.0,2548310
1979-12-12,7.0,2548310
1979-12-13,7.0,2548310
1979-12-14,7.0,2548310
1979-12-15,7.0,2548310
1979-12-16,7.0,2548310
1979-12-17,7.0,2548310
1979-12-18,7.0,2548310
1979-12-19,7.0,2548310
1979-12-20,7.0,2548310
1979-12-21,7.0,2548310
1979-12-22,7.0,2548310
1979-12-23,6.0,2548310
1979-12-24,6.0,2548310
1979-12-25,6.0,2548310
1979-12-26,6.0,2548310
1979-12-27,6.0,2548310
1979-12-28,6.0,2548310
1979-12-29,6.0,2548310
1979-12-30,11.0,2548310
1979-12-31,8.0,2548310
1980-01-01,7.0,2548310
1980-01-02,7.0,2548310
1980-01-03,7.0,2548310
1980-01-04,7.0,2548310
1980-01-05,6.0,2548310
1980-01-06,6.0,2548310
1980-01-07,6.0,2548310
1980-01-08,6.0,2548310
1980-01-09,6.0,2548310
1980-01-10,6.0,2548310
1980-01-11,6.0,2548310
1980-01-12,6.0,2548310
1980-01-13,6.0,2548310
1980-01-14,6.0,2548310
1980-01-15,6.0,2548310
1980-01-16,6.0,2548310
1980-01-17,5.0,2548310
1980-01-18,5.0,2548310
1980-01-19,5.0,2548310
1980-01-20,5.0,2548310
1980-01-21,5.0,2548310
1980-01-22,5.0,2548310
1980-01-23,5.0,2548310
1980-01-24,5.0,2548310
1980-01-25,5.0,2548310
1980-01-26,5.0,2548310
1980-01-27,5.0,2548310
1980-01-28,5.0,2548310
1980-01-29,5.0,2548310
1980-01-30,4.0,2548310
1980-01-31,4.0,2548310
1980-02-01,4.0,2548310
1980-02-02,4.0,2548310
1980-02-03,4.0,2548310
1980-02-04,5.0,2548310
1980-02-05,5.0,2548310
1980-02-06,5.0,2548310
1980-02-07,5.0,2548310
1980-02-08,5.0,2548310
1980-02-09,5.0,2548310
1980-02-10,5.0,2548310
1980-02-11,5.0,2548310
1980-02-12,5.0,2548310
1980-02-13,5.0,2548310
1980-02-14,5.0,2548310
1980-02-15,5.0,2548310
1980-02-16,5.0,2548310
1980-02-17,5.0,2548310
1980-02-18,5.0,2548310
1980-02-19,5.0,2548310
